證券代碼,年,月,日,收盤價(元),成交量(千股)
1101 台泥,2007,4,2,10.0222,"1,770"
1102 亞泥,2007,4,2,11.1384,"2,019"
1103 嘉泥,2007,4,2,11.3173,"3,156"
1104 環泥,2007,4,2,5.4825,406
1107 建台,2007,4,2,1.62,185
1108 幸福,2007,4,2,6.1349,580
1109 信大,2007,4,2,7.055,206
1110 東泥,2007,4,2,9.032,"3,592"
1201 味全,2007,4,2,20.6624,"16,979"
1203 味王,2007,4,2,8.114,842
1210 大成,2007,4,2,7.0896,"13,549"
1213 大飲,2007,4,2,11.8157,97
1215 卜蜂,2007,4,2,4.9726,"12,192"
1216 統一,2007,4,2,11.5231,"9,406"
1217 愛之味,2007,4,2,7.3691,"1,574"
1218 泰山,2007,4,2,5.473,"1,007"
1219 福壽,2007,4,2,5.2591,"1,114"
1220 台榮,2007,4,2,5.5284,261
1225 福懋油,2007,4,2,5.2172,338
1227 佳格,2007,4,2,3.343,511
1229 聯華,2007,4,2,4.2113,"1,706"
1231 聯華食,2007,4,2,3.5288,275
1232 大統益,2007,4,2,10.7915,746
1233 天仁,2007,4,2,15.5365,102
1234 黑松,2007,4,2,10.6751,"2,542"
1235 興泰,2007,4,2,5.9721,6
1236 宏亞,2007,4,2,7.2794,31
1301 台塑,2007,4,2,28.2336,"8,828"
1303 南亞,2007,4,2,29.7525,"14,119"
1304 台聚,2007,4,2,3.8885,"16,005"
1305 華夏,2007,4,2,3.9241,"3,716"
1307 三芳,2007,4,2,9.0798,"1,357"
1308 亞聚,2007,4,2,3.7541,"1,464"
1309 台達化,2007,4,2,5.154,"1,577"
1310 台苯,2007,4,2,8.2163,"2,675"
1311 Ｄ福聚,2007,4,2,24.7551,"1,038"
1312 國喬,2007,4,2,7.7974,"4,439"
1313 聯成,2007,4,2,6.9912,"6,675"
1314 中石化,2007,4,2,5.8599,"112,755"
1315 達新,2007,4,2,18.964,698
1316 上曜,2007,4,2,9.7968,510
1319 東陽,2007,4,2,17.7678,"8,606"
1321 大洋,2007,4,2,17.3701,449
1323 永裕,2007,4,2,4.4877,246
1324 地球,2007,4,2,21.5276,"2,136"
1325 恒大,2007,4,2,6.0508,391
1326 台化,2007,4,2,28.9302,"15,439"
1333 恩得利,2007,4,2,53.4316,717
1402 遠東新,2007,4,2,12.2691,"5,418"
1408 中紡,2007,4,2,0.7,837
1409 新纖,2007,4,2,5.3017,"52,365"
1410 南染,2007,4,2,6.8635,187
1413 宏洲,2007,4,2,10.2241,"2,068"
1414 東和,2007,4,2,5.2763,"1,091"
1416 廣豐,2007,4,2,11.9333,"29,881"
1417 嘉裕,2007,4,2,11.11,"19,924"
1418 東華,2007,4,2,33.2196,"1,961"
1419 新紡,2007,4,2,20.332,926
1423 利華,2007,4,2,7.1668,701
1432 大魯閣,2007,4,2,7.0918,12
1434 福懋,2007,4,2,13.3858,"10,672"
1435 中福,2007,4,2,6.76,187
1436 華友聯,2007,4,2,11.1552,292
1437 勤益控,2007,4,2,20.1413,"3,248"
1438 三地開發,2007,4,2,4.415,36
1439 中和,2007,4,2,7.0641,68
1440 南紡,2007,4,2,9.1936,"3,753"
1441 大東,2007,4,2,12.9631,"1,104"
1442 名軒,2007,4,2,9.4901,249
1443 立益,2007,4,2,9.3148,670
1444 力麗,2007,4,2,3.5129,"2,632"
1445 大宇,2007,4,2,2.9239,"1,184"
1446 宏和,2007,4,2,6.2742,168
1447 力鵬,2007,4,2,6.5604,"1,834"
1449 佳和,2007,4,2,47.5354,"1,115"
1451 年興,2007,4,2,18.2097,"1,972"
1452 宏益,2007,4,2,3.873,"1,080"
1453 大將,2007,4,2,6.4139,36
1454 台富,2007,4,2,3.3462,204
1455 集盛,2007,4,2,5.7898,"4,028"
1456 怡華,2007,4,2,27.532,407
1457 宜進,2007,4,2,3.5887,"1,320"
1459 聯發,2007,4,2,5.667,439
1460 宏遠,2007,4,2,6.5936,676
1462 東雲,2007,4,2,0.35,78
1463 強盛,2007,4,2,4.2298,248
1464 得力,2007,4,2,3.365,441
1465 偉全,2007,4,2,3.8229,123
1466 聚隆,2007,4,2,6.2727,"1,869"
1467 南緯,2007,4,2,10.2196,975
1468 昶和,2007,4,2,12.9,130
1469 理隆,2007,4,2,14.95,124
1470 大統新創,2007,4,2,4.121,48
1471 首利,2007,4,2,60.5702,"4,225"
1472 三洋實業,2007,4,2,64.3277,"2,930"
1473 台南,2007,4,2,23.5993,366
1474 弘裕,2007,4,2,5.5842,149
1475 業旺,2007,4,2,125.817,46
1476 儒鴻,2007,4,2,8.5859,379
1477 聚陽,2007,4,2,28.3082,436
1503 士電,2007,4,2,19.9946,"1,025"
1504 東元,2007,4,2,9.2397,"1,861"
1506 正道,2007,4,2,15.5975,259
1507 永大,2007,4,2,9.712,836
1512 瑞利,2007,4,2,8.4254,"3,510"
1513 中興電,2007,4,2,9.791,"7,363"
1514 亞力,2007,4,2,4.3985,"2,926"
1515 力山,2007,4,2,13.0716,"6,425"
1516 川飛,2007,4,2,49.8897,"1,112"
1517 利奇,2007,4,2,8.9319,"6,064"
1519 華城,2007,4,2,10.8516,"3,563"
1520 Ｄ復盛,2007,4,2,29.3543,"2,230"
1521 大億,2007,4,2,12.1829,655
1522 堤維西,2007,4,2,12.5629,"2,515"
1523 開億,2007,4,2,17.9816,403
1524 耿鼎,2007,4,2,13.2361,"1,543"
1525 江申,2007,4,2,12.7323,33
1526 日馳,2007,4,2,7.4513,"1,183"
1527 鑽全,2007,4,2,21.2807,"4,598"
1528 恩德,2007,4,2,9.6437,"2,183"
1529 樂士,2007,4,2,78.5719,"6,050"
1530 亞崴,2007,4,2,32.3589,671
1531 高林股,2007,4,2,11.0408,385
1532 勤美,2007,4,2,16.3253,828
1533 車王電,2007,4,2,30.7434,"1,303"
1535 中宇,2007,4,2,15.5365,"3,516"
1536 和大,2007,4,2,26.2429,111
1537 廣隆,2007,4,2,15.9362,206
1538 正峰,2007,4,2,234.0975,"1,462"
1539 巨庭,2007,4,2,9.1064,91
1540 喬福,2007,4,2,10.1656,111
1541 錩泰,2007,4,2,15.2261,"2,037"
1560 中砂,2007,4,2,64.9869,"2,137"
1565 精華,2007,4,2,64.651,120
1569 濱川,2007,4,2,19.1054,78
1570 力肯,2007,4,2,19.1691,214
1582 信錦,2007,4,2,65.6358,481
1601 台光,2007,4,2,6.86,"1,778"
1603 華電,2007,4,2,6.8317,469
1604 聲寶,2007,4,2,5.7882,"2,346"
1605 華新,2007,4,2,11.2092,"8,387"
1606 歌林,2007,4,2,9.33,"14,502"
1608 華榮,2007,4,2,6.4488,"3,368"
1609 大亞,2007,4,2,8.9974,"5,332"
1611 中電,2007,4,2,9.4483,360
1612 宏泰,2007,4,2,12.9502,"9,270"
1613 台一,2007,4,2,6.2,796
1614 三洋電,2007,4,2,15.5962,274
1615 大山,2007,4,2,4.5565,713
1616 億泰,2007,4,2,15.0058,997
1617 榮星,2007,4,2,7.2875,120
1618 合機,2007,4,2,6.0629,"1,277"
1701 中化,2007,4,2,7.2501,"1,230"
1702 南僑,2007,4,2,5.8262,917
1704 榮化,2007,4,2,15.3135,"2,498"
1707 葡萄王,2007,4,2,6.1847,526
1708 東鹼,2007,4,2,7.8112,562
1709 和益,2007,4,2,4.9041,501
1710 東聯,2007,4,2,10.9739,"3,114"
1711 永光,2007,4,2,10.268,"6,774"
1712 興農,2007,4,2,4.4587,"2,282"
1713 國化,2007,4,2,9.0061,661
1714 和桐,2007,4,2,4.1269,"3,987"
1715 萬洲,2007,4,2,8.4387,671
1716 永信藥品,2007,4,2,23.5466,365
1717 長興,2007,4,2,17.6009,"10,596"
1718 中纖,2007,4,2,4.9976,"16,572"
1720 生達,2007,4,2,9.247,479
1721 三晃,2007,4,2,11.1757,614
1722 台肥,2007,4,2,31.4302,"2,028"
1723 中碳,2007,4,2,27.2908,"1,056"
1724 台硝,2007,4,2,7.6306,35
1725 元禎,2007,4,2,7.6101,20
1726 永記,2007,4,2,29.4484,246
1727 中華化,2007,4,2,4.0639,149
1729 必翔,2007,4,2,66.2872,"1,470"
1730 花仙子,2007,4,2,5.4603,70
1731 美吾華,2007,4,2,6.061,172
1732 毛寶,2007,4,2,11.4747,223
1733 五鼎,2007,4,2,22.4891,"1,454"
1734 杏輝,2007,4,2,12.0075,275
1735 日勝化,2007,4,2,8.3729,100
1736 喬山,2007,4,2,92.5805,111
1737 臺鹽,2007,4,2,14.2378,914
1742 台蠟,2007,4,2,21.4653,66
1777 生泰,2007,4,2,15.8329,72
1781 合世,2007,4,2,29.0035,128
1785 光洋科,2007,4,2,54.2164,"1,391"
1787 福盈科,2007,4,2,10.5138,"1,172"
1802 台玻,2007,4,2,16.2961,"1,264"
1805 寶徠,2007,4,2,22.0066,42
1806 冠軍,2007,4,2,11.4643,"6,756"
1807 羅馬,2007,4,2,1.08,320
1808 潤隆,2007,4,2,6.8772,775
1809 中釉,2007,4,2,12.5072,"7,833"
1810 和成,2007,4,2,11.5729,"6,837"
1815 富喬,2007,4,2,14.6334,709
1902 台紙,2007,4,2,7.4399,"2,958"
1903 士紙,2007,4,2,46.4,135
1904 正隆,2007,4,2,6.6006,"5,974"
1905 華紙,2007,4,2,9.7437,"8,163"
1906 寶隆,2007,4,2,5.6447,205
1907 永豐餘,2007,4,2,7.1474,"2,111"
1909 榮成,2007,4,2,7.67,"2,384"
2002 中鋼,2007,4,2,16.9727,"35,248"
2006 東和鋼鐵,2007,4,2,22.3424,"11,803"
2007 燁興,2007,4,2,18.6329,0
2008 高興昌,2007,4,2,7.0743,430
2009 第一銅,2007,4,2,10.838,"7,229"
2010 春源,2007,4,2,6.207,861
2012 春雨,2007,4,2,7.3272,"1,375"
2013 中鋼構,2007,4,2,8.9522,471
2014 中鴻,2007,4,2,16.3426,"18,588"
2015 豐興,2007,4,2,18.3957,569
2017 官田鋼,2007,4,2,10.2253,"4,184"
2020 美亞,2007,4,2,10.8073,"5,019"
2022 聚亨,2007,4,2,14.9892,"2,932"
2023 燁輝,2007,4,2,6.9145,"4,955"
2024 志聯,2007,4,2,5.3801,704
2025 千興,2007,4,2,13,"7,548"
2027 大成鋼,2007,4,2,15.2895,"10,947"
2028 威致,2007,4,2,13.8,"1,263"
2029 盛餘,2007,4,2,18.0663,"1,700"
2030 彰源,2007,4,2,16.5948,"6,652"
2031 新光鋼,2007,4,2,12.5995,"4,120"
2032 新鋼,2007,4,2,19.6347,"1,630"
2033 佳大,2007,4,2,6.8357,286
2034 允強,2007,4,2,13.3148,"5,490"
2035 唐榮,2007,4,2,35.7,"1,735"
2059 川湖,2007,4,2,85.5062,111
2101 南港,2007,4,2,18.6785,"13,270"
2102 泰豐,2007,4,2,13.2674,"1,714"
2103 台橡,2007,4,2,9.727,"6,256"
2104 國際中橡,2007,4,2,11.3896,"5,945"
2105 正新,2007,4,2,7.4401,"4,083"
2106 建大,2007,4,2,6.1648,"1,170"
2107 厚生,2007,4,2,10.8104,"12,423"
2108 南帝,2007,4,2,5.7458,"3,508"
2109 華豐,2007,4,2,9.4559,489
2114 鑫永銓,2007,4,2,12.9343,289
2201 裕隆,2007,4,2,43.2463,"2,712"
2204 中華,2007,4,2,29.3901,"1,762"
2206 三陽工業,2007,4,2,12.0402,"6,180"
2207 和泰車,2007,4,2,46.8735,202
2227 裕日車,2007,4,2,38.1979,290
2301 光寶科,2007,4,2,19.5509,"8,912"
2302 麗正,2007,4,2,15.7262,"6,064"
2303 聯電,2007,4,2,10.107,"42,355"
2305 全友,2007,4,2,5.67,"1,692"
2308 台達電,2007,4,2,52.6862,"3,384"
2311 日月光,2007,4,2,15.3709,"24,707"
2312 金寶,2007,4,2,8.7296,"4,783"
2313 華通,2007,4,2,9.6415,"12,424"
2314 台揚,2007,4,2,40.8141,"9,941"
2315 神達電腦,2007,4,2,27.2118,"17,167"
2316 楠梓電,2007,4,2,12.9866,"26,399"
2317 鴻海,2007,4,2,55.8118,"4,068"
2321 東訊,2007,4,2,91.428,"1,216"
2323 中環,2007,4,2,16.2642,"10,703"
2324 仁寶,2007,4,2,10.9409,"10,236"
2325 矽品,2007,4,2,30.9902,"5,555"
2326 亞瑟,2007,4,2,1.41,43
2327 國巨,2007,4,2,25.9606,"23,586"
2328 廣宇,2007,4,2,47.1797,"4,454"
2329 華泰,2007,4,2,32.6862,"25,755"
2330 台積電,2007,4,2,37.2017,"25,260"
2331 精英,2007,4,2,10.3598,"12,715"
2332 友訊,2007,4,2,36.106,"4,490"
2336 Ｄ致伸,2007,4,2,16.268,"7,216"
2337 旺宏,2007,4,2,7.3308,"11,444"
2338 光罩,2007,4,2,10.5033,"3,716"
2340 光磊,2007,4,2,28.124,"33,178"
2341 英群,2007,4,2,35,"6,584"
2342 茂矽,2007,4,2,614.2998,"17,911"
2344 華邦電,2007,4,2,9.7748,"46,186"
2345 智邦,2007,4,2,10.1262,"11,555"
2347 聯強,2007,4,2,14.4319,"17,273"
2348 海悅,2007,4,2,421.4771,"3,945"
2349 錸德,2007,4,2,28.8927,"6,695"
2350 環電,2007,4,2,17.1057,"73,123"
2351 順德,2007,4,2,29.971,"3,068"
2352 佳世達,2007,4,2,12.9892,"12,069"
2353 宏碁,2007,4,2,35.5794,"5,233"
2354 鴻準,2007,4,2,119.9189,"2,032"
2355 敬鵬,2007,4,2,12.3736,"9,203"
2356 英業達,2007,4,2,8.0796,"4,563"
2357 華碩,2007,4,2,114.3334,"25,693"
2358 廷鑫,2007,4,2,17.9727,259
2359 所羅門,2007,4,2,11.1165,"13,600"
2360 致茂,2007,4,2,23.4272,"1,201"
2361 鴻友,2007,4,2,60.7307,"10,842"
2362 藍天,2007,4,2,20.87,"8,460"
2363 矽統,2007,4,2,27.3962,"16,502"
2364 倫飛,2007,4,2,170.0745,"9,249"
2365 昆盈,2007,4,2,17.6826,"1,914"
2367 燿華,2007,4,2,10.4853,"20,750"
2368 金像電,2007,4,2,22.7076,"3,377"
2369 菱生,2007,4,2,7.8426,"10,440"
2371 大同,2007,4,2,32.8707,"24,674"
2373 震旦行,2007,4,2,10.4169,199
2374 佳能,2007,4,2,18.1499,"13,055"
2375 凱美,2007,4,2,28.3946,"8,347"
2376 技嘉,2007,4,2,9.3987,"3,217"
2377 微星,2007,4,2,8.9898,"5,598"
2379 瑞昱,2007,4,2,59.7932,"21,705"
2380 虹光,2007,4,2,25.2385,"5,343"
2381 華宇,2007,4,2,39.4834,"23,902"
2382 廣達,2007,4,2,19.9758,"3,742"
2383 台光電,2007,4,2,7.6828,"13,703"
2384 勝華,2007,4,2,23.7234,"11,331"
2385 群光,2007,4,2,14.3553,888
2387 精元,2007,4,2,28.7307,"4,956"
2388 威盛,2007,4,2,158.1489,"22,935"
2390 云辰,2007,4,2,9.5966,"1,701"
2391 合勤,2007,4,2,48.5679,"10,651"
2392 正崴,2007,4,2,48.6542,"7,130"
2393 億光,2007,4,2,57.1958,"3,782"
2395 研華,2007,4,2,36.8256,449
2396 精碟,2007,4,2,6.88,"27,299"
2397 友通,2007,4,2,31.3388,542
2399 映泰,2007,4,2,12.8526,"3,310"
2401 凌陽,2007,4,2,40.7989,"13,200"
2402 毅嘉,2007,4,2,23.1197,"8,332"
2403 友尚,2007,4,2,14.885,"10,602"
2404 漢唐,2007,4,2,9.9439,"3,151"
2405 浩鑫,2007,4,2,13.8189,"11,714"
2406 國碩,2007,4,2,15.686,"11,707"
2408 南亞科,2007,4,2,456.7905,"30,109"
2409 友達,2007,4,2,28.0389,"125,733"
2410 鼎大,2007,4,2,0.9,587
2411 飛瑞,2007,4,2,27.6739,"2,541"
2412 中華電,2007,4,2,33.277,"8,514"
2413 環科,2007,4,2,22.8966,"1,937"
2414 精技,2007,4,2,6.6598,"4,302"
2415 錩新,2007,4,2,11.7156,"1,492"
2417 圓剛,2007,4,2,26.7184,"18,422"
2418 雅新,2007,4,2,23.6,"26,151"
2419 仲琦,2007,4,2,7.9019,"7,835"
2420 新巨,2007,4,2,12.9342,"2,518"
2421 建準,2007,4,2,10.0915,"5,377"
2423 固緯,2007,4,2,11.5697,"2,088"
2424 隴華,2007,4,2,41.3576,"1,862"
2425 承啟,2007,4,2,46.045,"4,578"
2426 鼎元,2007,4,2,24.1761,"19,573"
2427 三商電,2007,4,2,7.217,"3,350"
2428 興勤,2007,4,2,15.4307,"1,978"
2429 銘旺科,2007,4,2,219.2447,114
2430 燦坤,2007,4,2,10.9116,"2,086"
2431 聯昌,2007,4,2,9.7504,"5,540"
2432 倚天,2007,4,2,36.8765,"12,646"
2433 互盛電,2007,4,2,4.5946,251
2434 統懋,2007,4,2,231.0122,872
2436 偉詮電,2007,4,2,19.9023,"25,086"
2437 旺詮,2007,4,2,22.0804,"1,199"
2438 翔耀,2007,4,2,162.8426,"5,692"
2439 美律,2007,4,2,35.7115,"3,097"
2440 太空梭,2007,4,2,10.5126,716
2441 超豐,2007,4,2,15.0419,"2,741"
2442 新美齊,2007,4,2,10.4938,"1,181"
2443 昶虹,2007,4,2,20.0937,"2,150"
2444 兆勁,2007,4,2,49.8331,"2,209"
2446 全懋,2007,4,2,34.6625,"34,548"
2447 鼎新,2007,4,2,33.1386,345
2448 晶電,2007,4,2,92.5564,"10,673"
2449 京元電子,2007,4,2,12.0664,"20,245"
2450 神腦,2007,4,2,21.4456,"1,255"
2451 創見,2007,4,2,46.5121,"3,717"
2452 乾坤,2007,4,2,38.9712,649
2453 凌群,2007,4,2,7.0543,694
2454 聯發科,2007,4,2,186.1644,"3,089"
2455 全新,2007,4,2,22.5859,"2,240"
2456 奇力新,2007,4,2,21.6707,"5,015"
2457 飛宏,2007,4,2,18.5956,"21,090"
2458 義隆,2007,4,2,26.3214,"25,963"
2459 敦吉,2007,4,2,15.4547,837
2460 建通,2007,4,2,22.7052,"2,352"
2461 光群雷,2007,4,2,21.6937,"2,373"
2462 良得電,2007,4,2,8.5169,"1,029"
2463 Ｄ研揚,2007,4,2,30.4279,544
2464 盟立,2007,4,2,11.2803,952
2465 麗臺,2007,4,2,49.3398,"2,916"
2466 冠西電,2007,4,2,35.8689,185
2467 志聖,2007,4,2,9.4623,"1,698"
2468 華經,2007,4,2,8.5353,"1,076"
2469 力信,2007,4,2,22.35,775
2471 資通,2007,4,2,6.2497,"1,916"
2472 立隆電,2007,4,2,15.1613,"14,935"
2473 思源,2007,4,2,46.9674,"19,222"
2474 可成,2007,4,2,97.8034,"3,039"
2475 華映,2007,4,2,16.1385,"90,120"
2476 鉅祥,2007,4,2,27.6191,"5,454"
2477 美隆電,2007,4,2,11.0927,784
2478 大毅,2007,4,2,135.4117,317
2479 和立,2007,4,2,9.9996,774
2480 敦陽科,2007,4,2,8.6974,"6,226"
2481 強茂,2007,4,2,19.4366,"3,444"
2482 連宇,2007,4,2,36.4238,"1,568"
2483 百容,2007,4,2,12.4737,"1,284"
2484 希華,2007,4,2,16.4791,"10,846"
2485 兆赫,2007,4,2,27.4028,"12,404"
2486 一詮,2007,4,2,28.4525,"2,868"
2488 漢平,2007,4,2,8.1178,"1,118"
2489 瑞軒,2007,4,2,9.0359,"17,311"
2491 吉祥全,2007,4,2,40.8137,"2,932"
2492 華新科,2007,4,2,22.6556,"6,646"
2493 揚博,2007,4,2,5.3781,"2,483"
2494 廣業科,2007,4,2,13.9,91
2495 普安,2007,4,2,20.6338,"1,593"
2496 卓越,2007,4,2,206.6551,135
2497 怡利電,2007,4,2,24.9116,596
2498 宏達電,2007,4,2,166.5007,"4,445"
2499 東貝,2007,4,2,27.7724,"7,028"
2501 國建,2007,4,2,10.5109,"7,184"
2504 國產,2007,4,2,11.9009,"12,472"
2505 國揚,2007,4,2,24.3295,"3,475"
2506 太設,2007,4,2,9.4879,"5,379"
2509 全坤建,2007,4,2,7.0954,890
2511 太子,2007,4,2,7.1495,"3,872"
2514 龍邦,2007,4,2,16.9881,"3,413"
2515 中工,2007,4,2,4.7535,"9,110"
2516 新建,2007,4,2,4.0341,622
2520 冠德,2007,4,2,6.8089,"8,795"
2524 京城,2007,4,2,17.9333,656
2526 大陸,2007,4,2,20.789,"1,111"
2527 宏璟,2007,4,2,9.2718,775
2528 皇普,2007,4,2,16.3727,19
2530 華建,2007,4,2,6.9548,"6,935"
2534 宏盛,2007,4,2,9.8685,"4,992"
2535 達欣工,2007,4,2,3.961,959
2536 宏普,2007,4,2,11.1221,723
2537 聯上發,2007,4,2,5.7077,59
2538 基泰,2007,4,2,8.5897,"3,091"
2539 櫻花建,2007,4,2,2.5571,0
2540 愛山林,2007,4,2,20.8761,168
2542 興富發,2007,4,2,5.7991,"4,561"
2543 皇昌,2007,4,2,9.8583,770
2545 皇翔,2007,4,2,19.044,"1,027"
2546 根基,2007,4,2,3.7003,701
2547 日勝生,2007,4,2,16.4247,"4,190"
2548 華固,2007,4,2,13.8165,876
2601 益航,2007,4,2,24.095,"7,659"
2603 長榮,2007,4,2,14.4057,"3,026"
2605 新興,2007,4,2,18.5869,"3,772"
2606 裕民,2007,4,2,23.0751,"1,349"
2607 榮運,2007,4,2,12.6317,"4,092"
2608 嘉里大榮,2007,4,2,15.2683,"4,068"
2609 陽明,2007,4,2,33.0907,"8,412"
2610 華航,2007,4,2,17.9371,"3,244"
2611 志信,2007,4,2,11.603,"1,536"
2612 中航,2007,4,2,32.5535,803
2613 中櫃,2007,4,2,9.5923,177
2614 東森,2007,4,2,13.0431,"6,992"
2615 萬海,2007,4,2,10.597,"3,700"
2616 山隆,2007,4,2,6.1571,101
2617 台航,2007,4,2,21.7984,"1,138"
2618 長榮航,2007,4,2,14.1636,"4,025"
2628 正利,2007,4,2,20.75,126
2701 萬企,2007,4,2,8.4009,175
2702 華園,2007,4,2,20.2039,458
2704 國賓,2007,4,2,29.9201,"6,838"
2705 六福,2007,4,2,40.1538,933
2706 第一店,2007,4,2,11.466,219
2707 晶華,2007,4,2,100.1213,35
2801 彰銀,2007,4,2,8.0325,"9,072"
2809 京城銀,2007,4,2,6.2432,332
2812 台中銀,2007,4,2,5.8072,0
2816 旺旺保,2007,4,2,61.9561,"4,865"
2820 華票,2007,4,2,3.2546,"1,446"
2823 中壽,2007,4,2,4.369,"4,103"
2832 台產,2007,4,2,8.4931,"1,482"
2833 台壽,2007,4,2,24.9298,825
2834 臺企銀,2007,4,2,5.2178,"4,576"
2836 高雄銀,2007,4,2,9.5569,"1,511"
2837 凱基銀行,2007,4,2,224.1406,"1,924"
2838 聯邦銀,2007,4,2,5.3007,696
2841 台開,2007,4,2,8.2942,"1,992"
2845 遠東銀,2007,4,2,9.4188,"5,189"
2847 大眾銀,2007,4,2,9.9844,"7,272"
2849 安泰銀,2007,4,2,11.4342,111
2850 新產,2007,4,2,6.6583,"1,034"
2851 中再保,2007,4,2,5.4675,193
2852 第一保,2007,4,2,8.4506,"1,227"
2854 寶來證,2007,4,2,11.8491,"6,242"
2855 統一證,2007,4,2,7.0535,"2,702"
2856 元富證,2007,4,2,8.599,"5,650"
2880 華南金,2007,4,2,8.1503,"5,704"
2881 富邦金,2007,4,2,12.9965,"2,346"
2882 國泰金,2007,4,2,32.0522,"10,726"
2883 開發金,2007,4,2,7.474,"10,539"
2884 玉山金,2007,4,2,5.6182,"2,662"
2885 元大金,2007,4,2,7.9914,"6,328"
2886 兆豐金,2007,4,2,9.5748,"4,922"
2887 台新金,2007,4,2,6.5484,"10,800"
2888 新光金,2007,4,2,17.5749,"9,206"
2889 國票金,2007,4,2,4.0531,"1,736"
2890 永豐金,2007,4,2,6.43,"12,925"
2891 中信金,2007,4,2,8.6707,"29,878"
2892 第一金,2007,4,2,7.5436,"2,832"
2901 欣欣,2007,4,2,22.796,203
2903 遠百,2007,4,2,9.8602,"9,032"
2904 匯僑,2007,4,2,2.771,56
2905 三商,2007,4,2,4.6456,"1,150"
2906 高林,2007,4,2,4.5164,124
2908 特力,2007,4,2,9.0466,"1,329"
2910 統領,2007,4,2,18.8565,1
2911 麗嬰房,2007,4,2,15.8415,"1,318"
2912 統一超,2007,4,2,43.1223,557
2913 農林,2007,4,2,8.1105,"2,637"
2915 潤泰全,2007,4,2,14.8745,"21,727"
2916 滿心,2007,4,2,11.0544,62
2921 和樂,2007,4,2,18.9759,82
3002 歐格,2007,4,2,13.227,"1,961"
3003 健和興,2007,4,2,20.0233,696
3004 豐達科,2007,4,2,26.0718,712
3005 神基,2007,4,2,11.1308,"20,463"
3006 晶豪科,2007,4,2,39.8342,"10,550"
3007 綠點,2007,4,2,107,31
3008 大立光,2007,4,2,326.9064,"1,043"
3009 Ｄ奇美電,2007,4,2,29.8922,"43,880"
3010 華立,2007,4,2,25.1409,"1,025"
3011 今皓,2007,4,2,19.2324,"1,575"
3013 晟銘電,2007,4,2,9.9753,"3,594"
3014 聯陽,2007,4,2,33.9193,"4,715"
3015 全漢,2007,4,2,15.7195,"1,103"
3016 嘉晶,2007,4,2,68.6608,"12,695"
3017 奇鋐,2007,4,2,14.0779,"10,923"
3018 同開,2007,4,2,21.9712,304
3019 亞光,2007,4,2,110.2475,"2,178"
3020 奇普仕,2007,4,2,28.85,"1,352"
3021 鴻名,2007,4,2,7.427,117
3022 威強電,2007,4,2,17.7813,"3,127"
3023 信邦,2007,4,2,14.9308,"2,001"
3024 憶聲,2007,4,2,15.8412,"13,779"
3025 星通,2007,4,2,23.133,"3,749"
3026 禾伸堂,2007,4,2,33.877,"6,081"
3027 盛達,2007,4,2,18.9321,"1,706"
3028 增你強,2007,4,2,7.2142,"1,855"
3029 零壹,2007,4,2,5.2613,553
3030 德律,2007,4,2,10.5721,818
3031 佰鴻,2007,4,2,21.1955,"1,255"
3032 偉訓,2007,4,2,7.9437,"3,454"
3033 威健,2007,4,2,5.773,"5,743"
3034 聯詠,2007,4,2,56.2447,"5,872"
3035 智原,2007,4,2,77.4158,"9,420"
3036 文曄,2007,4,2,8.932,"12,975"
3037 欣興,2007,4,2,26.0715,"23,699"
3038 全台,2007,4,2,13.8821,"18,707"
3040 遠見,2007,4,2,9.4085,529
3041 揚智,2007,4,2,56.0414,"16,019"
3042 晶技,2007,4,2,21.3537,"3,047"
3043 科風,2007,4,2,53.0016,"4,184"
3044 健鼎,2007,4,2,50.6866,391
3045 台灣大,2007,4,2,21.5212,"8,196"
3046 建碁,2007,4,2,69.0889,530
3047 訊舟,2007,4,2,12.1618,"4,419"
3048 益登,2007,4,2,5.3383,"1,871"
3049 和鑫,2007,4,2,14.784,"32,760"
3050 鈺德,2007,4,2,6.0956,"1,977"
3051 力特,2007,4,2,60.174,"13,366"
3052 夆典,2007,4,2,3.5496,"3,166"
3053 鼎營,2007,4,2,7.8189,0
3054 立萬利,2007,4,2,34.9944,191
3055 蔚華科,2007,4,2,14.3805,"1,572"
3056 總太,2007,4,2,4.7641,506
3057 喬鼎,2007,4,2,50.376,"1,156"
3058 立德,2007,4,2,11.4038,"3,177"
3059 華晶科,2007,4,2,29.1175,"5,362"
3060 銘異,2007,4,2,32.709,"3,045"
3061 璨圓,2007,4,2,28.0129,"8,457"
3062 建漢,2007,4,2,48.1816,"9,041"
3063 飛信,2007,4,2,27.3032,"6,530"
3064 泰偉,2007,4,2,235.7249,"1,589"
3066 李洲,2007,4,2,51.7018,385
3067 全域,2007,4,2,30.2532,32
3069 台金礦,2007,4,2,23.9711,273
3071 協禧,2007,4,2,15.1937,800
3078 僑威,2007,4,2,11.3661,"1,191"
3079 宏億國,2007,4,2,30.6068,"6,242"
3080 威力盟,2007,4,2,68.8089,"4,659"
3083 網龍,2007,4,2,59.2482,"1,248"
3085 新零售,2007,4,2,208.2304,311
3086 華義,2007,4,2,166.9849,307
3087 台灣美日,2007,4,2,13.5262,"9,318"
3088 艾訊,2007,4,2,19.4475,"4,145"
3089 億杰,2007,4,2,20.0517,483
3090 日電貿,2007,4,2,9.1904,"1,763"
3093 港建,2007,4,2,25.6306,45
